Datos_reportados;Nuevos_casos;;Casos_Proyectados;;;;;;;;;;;;
5/01/2020;0;1;7425.46;;;;;;;;;;;;
12/01/2020;0;2;7408.22;;;;;;;;;;;;
19/01/2020;0;3;7390.98;;;;;;;;;;;;
26/01/2020;0;4;7373.74;;;;;;;;;;;;
2/02/2020;0;5;7356.5;;;;;;;;;;;;
9/02/2020;0;6;7339.26;;;;;;;;;;;;
16/02/2020;0;7;7322.02;;;;;;;;;;;;
23/02/2020;0;8;7304.78;;;;;;;;;;;;
1/03/2020;0;9;7287.54;;;;;;;;;;;;
8/03/2020;0;10;7270.3;;;;;;;;;;;;
15/03/2020;1;11;7253.06;;;;;;;;;;;;
22/03/2020;11;12;7235.82;;;;;;;;;;;;
29/03/2020;65;13;7218.58;;;;;;;;;;;;
5/04/2020;-27;14;7201.34;;;;;;;;;;;;
12/04/2020;87;15;7184.1;;;;;;;;;;;;
19/04/2020;98;16;7166.86;;;;;;;;;;;;
26/04/2020;195;17;7149.62;;;;;;;;;;;;
3/05/2020;214;18;7132.38;;;;;;;;;;;;
10/05/2020;256;19;7115.14;;;;;;;;;;;;
17/05/2020;743;20;7097.9;;;;;;;;;;;;
24/05/2020;1100;21;7080.66;;;;;;;;;;;;
31/05/2020;1864;22;7063.42;;;;;;;;;;;;
7/06/2020;1878;23;7046.18;;;;;;;;;;;;
14/06/2020;2497;24;7028.94;;;;;;;;;;;;
21/06/2020;3527;25;7011.7;;;;;;;;;;;;
28/06/2020;3319;26;6994.46;;;;;;;;;;;;
5/07/2020;5465;27;6977.22;;;;;;;;;;;;
12/07/2020;6326;28;6959.98;;;;;;;;;;;;
19/07/2020;6190;29;6942.74;;;;;;;;;;;; 
26/07/2020;10683;30;6925.5;;;;;;;;;;;;
2/08/2020;6487;31;6908.26;;;;;;;;;;;;
9/08/2020;5210;32;6891.02;;;;;;;;;;;;
16/08/2020;6124;33;6873.78;;;;;;;;;;;;
23/08/2020;5543;34;6856.54;;;;;;;;;;;;
30/08/2020;5823;35;6839.3;;;;;;;;;;;;
6/09/2020;3802;36;6822.06;;;;;;;;;;;;
13/09/2020;4177;37;6804.82;;;;;;;;;;;;
20/09/2020;3494;38;6787.58;;;;;;;;;;;;
27/09/2020;4550;39;6770.34;;;;;;;;;;;;
4/10/2020;4046;40;6753.1;;;;;;;;;;;;
11/10/2020;3796;41;6735.86;;;;;;;;;;;;
18/10/2020;3484;42;6718.62;;;;;;;;;;;;
25/10/2020;3604;43;6701.38;;;;;;;;;;;;
1/11/2020;3307;44;6684.14;;;;;;;;;;;;
8/11/2020;3111;45;6666.9;;;;;;;;;;;;
15/11/2020;3669;46;6649.66;;;;;;;;;;;;
22/11/2020;3698;47;6632.42;;;;;;;;;;;;
29/11/2020;3381;48;6615.18;;;;;;;;;;;;
6/12/2020;3554;49;6597.94;;;;;;;;;;;;
13/12/2020;3747;50;6580.7;;;;;;;;;;;;
20/12/2020;3496;51;6563.46;;;;;;;;;;;;
27/12/2020;2576;52;6546.22;;;;;;;;;;;;
3/01/2021;3145;53;6528.98;;;;;;;;;;;;
10/01/2021;4811;54;6511.74;;;;;;;;;;;;
17/01/2021;5471;55;6494.5;;;;;;;;;;;;
24/01/2021;5292;56;6477.26;;;;;;;;;;;;
31/01/2021;5228;57;6460.02;;;;;;;;;;;;
7/02/2021;3819;58;6442.78;;;;;;;;;;;;
14/02/2021;4134;59;6425.54;;;;;;;;;;;;
21/02/2021;3860;60;6408.3;;;;;;;;;;;;
28/02/2021;3404;61;6391.06;;;;;;;;;;;;
7/03/2021;4002;62;6373.82;;;;;;;;;;;;
14/03/2021;4342;63;6356.58;;;;;;;;;;;;
21/03/2021;4980;64;6339.34;;;;;;;;;;;;
28/03/2021;5391;65;6322.1;;;;;;;;;;;;
4/04/2021;2189;66;6304.86;;;;;;;;;;;;
11/04/2021;7401;67;6287.62;;;;;;;;;;;;
18/04/2021;9667;68;6270.38;;;;;;;;;;;;
25/04/2021;9000;69;6253.14;;;;;;;;;;;;
2/05/2021;7170;70;6235.9;;;;;;;;;;;;
9/05/2021;6406;71;6218.66;;;;;;;;;;;;
16/05/2021;6234;72;6201.42;;;;;;;;;;;;
23/05/2021;5989;73;6184.18;;;;;;;;;;;;
30/05/2021;6731;74;6166.94;;;;;;;;;;;;
6/06/2021;7555;75;6149.7;;;;;;;;;;;;
13/06/2021;9739;76;6132.46;;;;;;;;;;;;
20/06/2021;8816;77;6115.22;;;;;;;;;;;;
27/06/2021;10905;78;6097.98;;;;;;;;;;;;
4/07/2021;10337;79;6080.74;;;;;;;;;;;;
11/07/2021;16122;80;6063.5;;;;;;;;;;;;
18/07/2021;15815;81;6046.26;;;;;;;;;;;;
25/07/2021;17690;82;6029.02;;;;;;;;;;;;
1/08/2021;17668;83;6011.78;;;;;;;;;;;;
8/08/2021;21026;84;5994.54;;;;;;;;;;;;
15/08/2021;22221;85;5977.3;;;;;;;;;;;;
22/08/2021;26188;86;5960.06;;;;;;;;;;;;
29/08/2021;25834;87;5942.82;;;;;;;;;;;;
5/09/2021;23066;88;5925.58;;;;;;;;;;;;
12/09/2021;22835;89;5908.34;;;;;;;;;;;;
19/09/2021;19768;90;5891.1;;;;;;;;;;;;
26/09/2021;19182;91;5873.86;;;;;;;;;;;;
3/10/2021;16962;92;5856.62;;;;;;;;;;;;
10/10/2021;13243;93;5839.38;;;;;;;;;;;;
17/10/2021;8878;94;5822.14;;;;;;;;;;;;
24/10/2021;5772;95;5804.9;;;;;;;;;;;;
31/10/2021;7943;96;5787.66;;;;;;;;;;;;
7/11/2021;4013;97;5770.42;;;;;;;;;;;;
14/11/2021;3721;98;5753.18;;;;;;;;;;;;
21/11/2021;4577;99;5735.94;;;;;;;;;;;;
28/11/2021;3782;100;5718.7;;;;;;;;;;;;
5/12/2021;1545;101;5701.46;;;;;;;;;;;;
12/12/2021;2804;102;5684.22;;;;;;;;;;;;
19/12/2021;1605;103;5666.98;;;;;;;;;;;;
26/12/2021;1580;104;5649.74;;;;;;;;;;;;
2/01/2022;3330;105;5632.5;;;;;;;;;;;;
9/01/2022;7254;106;5615.26;;;;;;;;;;;;
16/01/2022;13334;107;5598.02;;;;;;;;;;;;
23/01/2022;17070;108;5580.78;;;;;;;;;;;;
30/01/2022;19525;109;5563.54;;;;;;;;;;;;
6/02/2022;20072;110;5546.3;;;;;;;;;;;;
13/02/2022;24363;111;5529.06;;;;;;;;;;;;
20/02/2022;23304;112;5511.82;;;;;;;;;;;;
27/02/2022;20294;113;5494.58;;;;;;;;;;;;
6/03/2022;15779;114;5477.34;;;;;;;;;;;;
13/03/2022;13390;115;5460.1;;;;;;;;;;;;
20/03/2022;11367;116;5442.86;;;;;;;;;;;;
27/03/2022;9034;117;5425.62;;;;;;;;;;;;
3/04/2022;6736;118;5408.38;;;;;;;;;;;;
10/04/2022;4600;119;5391.14;;;;;;;;;;;;
17/04/2022;2896;120;5373.9;;;;;;;;;;;;
24/04/2022;3964;121;5356.66;;;;;;;;;;;;
1/05/2022;4527;122;5339.42;;;;;;;;;;;;
8/05/2022;2939;123;5322.18;;;;;;;;;;;;
15/05/2022;3070;124;5304.94;;;;;;;;;;;;
22/05/2022;3925;125;5287.7;;;;;;;;;;;;
29/05/2022;3509;126;5270.46;;;;;;;;;;;;
5/06/2022;4284;127;5253.22;;;;;;;;;;;;
12/06/2022;6050;128;5235.98;;;;;;;;;;;;
19/06/2022;8756;129;5218.74;;;;;;;;;;;;
26/06/2022;14670;130;5201.5;;;;;;;;;;;;
3/07/2022;22250;131;5184.26;;;;;;;;;;;;
10/07/2022;23979;132;5167.02;;;;;;;;;;;;
17/07/2022;38239;133;5149.78;;;;;;;;;;;;
24/07/2022;26772;134;5132.54;;;;;;;;;;;;
31/07/2022;33440;135;5115.3;;;;;;;;;;;;
7/08/2022;16376;136;5098.06;;;;;;;;;;;;
14/08/2022;16199;137;5080.82;;;;;;;;;;;;
21/08/2022;14792;138;5063.58;;;;;;;;;;;;
28/08/2022;11412;139;5046.34;;;;;;;;;;;;
4/09/2022;8006;140;5029.1;;;;;;;;;;;;
11/09/2022;6437;141;5011.86;;;;;;;;;;;;
18/09/2022;3830;142;4994.62;;;;;;;;;;;;
25/09/2022;4474;143;4977.38;;;;;;;;;;;;
2/10/2022;5190;144;4960.14;;;;;;;;;;;;
9/10/2022;4248;145;4942.9;;;;;;;;;;;;
16/10/2022;3977;146;4925.66;;;;;;;;;;;;
23/10/2022;2998;147;4908.42;;;;;;;;;;;;
30/10/2022;4155;148;4891.18;;;;;;;;;;;;
6/11/2022;2093;149;4873.94;;;;;;;;;;;;
13/11/2022;2833;150;4856.7;;;;;;;;;;;;
20/11/2022;2928;151;4839.46;;;;;;;;;;;;
27/11/2022;5099;152;4822.22;;;;;;;;;;;;
4/12/2022;5700;153;4804.98;;;;;;;;;;;;
11/12/2022;10137;154;4787.74;;;;;;;;;;;;
18/12/2022;13657;155;4770.5;;;;;;;;;;;;
25/12/2022;13352;156;4753.26;;;;;;;;;;;;
1/01/2023;7736;157;4736.02;;;;;;;;;;;;
8/01/2023;4534;158;4718.78;;;;;;;;;;;;
15/01/2023;9525;159;4701.54;;;;;;;;;;;;
22/01/2023;4570;160;4684.3;;;;;;;;;;;;
29/01/2023;4520;161;4667.06;;;;;;;;;;;;
5/02/2023;2644;162;4649.82;;;;;;;;;;;;
12/02/2023;2334;163;4632.58;;;;;;;;;;;;
19/02/2023;2072;164;4615.34;;;;;;;;;;;;
26/02/2023;1868;165;4598.1;;;;;;;;;;;;
5/03/2023;1888;166;4580.86;;;;;;;;;;;;
12/03/2023;1254;167;4563.62;;;;;;;;;;;;
19/03/2023;1791;168;4546.38;;;;;;;;;;;;
26/03/2023;1882;169;4529.14;;;;;;;;;;;;
2/04/2023;2550;170;4511.9;;;;;;;;;;;;
9/04/2023;0;171;4494.66;;;;;;;;;;;;
16/04/2023;1918;172;4477.42;;;;;;;;;;;;
23/04/2023;691;173;4460.18;;;;;;;;;;;;
30/04/2023;750;174;4442.94;;;;;;;;;;;;
7/05/2023;652;175;4425.7;;;;;;;;;;;;
14/05/2023;1445;176;4408.46;;;;;;;;;;;;
21/05/2023;2;177;4391.22;;;;;;;;;;;;
28/05/2023;2;178;4373.98;;;;;;;;;;;;
4/06/2023;2;179;4356.74;;;;;;;;;;;;
11/06/2023;3;180;4339.5;;;;;;;;;;;;
18/06/2023;1;181;4322.26;;;;;;;;;;;;
25/06/2023;0;182;4305.02;;;;;;;;;;;;
2/07/2023;2;183;4287.78;;;;;;;;;;;;
9/07/2023;2;184;4270.54;;;;;;;;;;;;
16/07/2023;3;185;4253.3;;;;;;;;;;;;
23/07/2023;3;186;4236.06;;;;;;;;;;;;
30/07/2023;2;187;4218.82;;;;;;;;;;;;
6/08/2023;3;188;4201.58;;;;;;;;;;;;
13/08/2023;1;189;4184.34;;;;;;;;;;;;
20/08/2023;4;190;4167.1;;;;;;;;;;;;
27/08/2023;1;191;4149.86;;;;;;;;;;;;
3/09/2023;2;192;4132.62;;;;;;;;;;;;
10/09/2023;1;193;4115.38;;;;;;;;;;;;
17/09/2023;0;194;4098.14;;;;;;;;;;;;
24/09/2023;1;195;4080.9;;;;;;;;;;;;
1/10/2023;0;196;4063.66;;;;;;;;;;;;
8/10/2023;0;197;4046.42;;;;;;;;;;;;
15/10/2023;0;198;4029.18;;;;;;;;;;;;
22/10/2023;0;199;4011.94;;;;;;;;;;;;
29/10/2023;0;200;3994.7;;;;;;;;;;;;
5/11/2023;0;201;3977.46;;;;;;;;;;;;
12/11/2023;1;202;3960.22;;;;;;;;;;;;
19/11/2023;0;203;3942.98;;;;;;;;;;;;
26/11/2023;0;204;3925.74;;;;;;;;;;;;
3/12/2023;2;205;3908.5;;;;;;;;;;;;
10/12/2023;0;206;3891.26;;;;;;;;;;;;
17/12/2023;0;207;3874.02;;;;;;;;;;;;
24/12/2023;0;208;3856.78;;;;;;;;;;;;
31/12/2023;1;209;3839.54;;;;;;;;;;;;
7/01/2024;1;210;3822.3;;;;;;;;;;;;
14/01/2024;2;211;3805.06;;;;;;;;;;;;
21/01/2024;6;212;3787.82;;;;;;;;;;;;
28/01/2024;5;213;3770.58;;;;;;;;;;;;
4/02/2024;1;214;3753.34;;;;;;;;;;;;
11/02/2024;2;215;3736.1;;;;;;;;;;;;
18/02/2024;6;216;3718.86;;;;;;;;;;;;
25/02/2024;5;217;3701.62;;;;;;;;;;;;
3/03/2024;1;218;3684.38;;;;;;;;;;;;
10/03/2024;0;219;3667.14;;;;;;;;;;;;
17/03/2024;6;220;3649.9;;;;;;;;;;;;
24/03/2024;2;221;3632.66;;;;;;;;;;;;
31/03/2024;3;222;3615.42;;;;;;;;;;;;
7/04/2024;1;223;3598.18;;;;;;;;;;;;
14/04/2024;3;224;3580.94;;;;;;;;;;;;
21/04/2024;4;225;3563.7;;;;;;;;;;;;
28/04/2024;1;226;3546.46;;;;;;;;;;;;
5/05/2024;0;227;3529.22;;;;;;;;;;;;
12/05/2024;2;228;3511.98;;;;;;;;;;;;
19/05/2024;0;229;3494.74;;;;;;;;;;;;
20/05/2024;;230;3477.5;;;;;;;;;;;;
21/05/2024;;231;3460.26;;;;;;;;;;;;
22/05/2024;;232;3443.02;;;;;;;;;;;;
23/05/2024;;233;3425.78;;;;;;;;;;;;
24/05/2024;;234;3408.54;;;;;;;;;;;;
25/05/2024;;235;3391.3;;;;;;;;;;;;
26/05/2024;;236;3374.06;;;;;;;;;;;;
27/05/2024;;237;3356.82;;;;;;;;;;;;
28/05/2024;;238;3339.58;;;;;;;;;;;;
29/05/2024;;239;3322.34;;;;;;;;;;;;
30/05/2024;;240;3305.1;;;;;;;;;;;;
31/05/2024;;241;3287.86;;;;;;;;;;;;
1/06/2024;;242;3270.62;;;;;;;;;;;;
2/06/2024;;243;3253.38;;;;;;;;;;;;
3/06/2024;;244;3236.14;;;;;;;;;;;;
4/06/2024;;245;3218.9;;;;;;;;;;;;
5/06/2024;;246;3201.66;;;;;;;;;;;;
6/06/2024;;247;3184.42;;;;;;;;;;;;
7/06/2024;;248;3167.18;;;;;;;;;;;;
8/06/2024;;249;3149.94;;;;;;;;;;;;
9/06/2024;;250;3132.7;;;;;;;;;;;;
10/06/2024;;251;3115.46;;;;;;;;;;;;
11/06/2024;;252;3098.22;;;;;;;;;;;;
12/06/2024;;253;3080.98;;;;;;;;;;;;
13/06/2024;;254;3063.74;;;;;;;;;;;;
14/06/2024;;255;3046.5;;;;;;;;;;;;
15/06/2024;;256;3029.26;;;;;;;;;;;;
16/06/2024;;257;3012.02;;;;;;;;;;;;
17/06/2024;;258;2994.78;;;;;;;;;;;;
18/06/2024;;259;2977.54;;;;;;;;;;;;
19/06/2024;;260;2960.3;;;;;;;;;;;;
20/06/2024;;261;2943.06;;;;;;;;;;;;
21/06/2024;;262;2925.82;;;;;;;;;;;;
22/06/2024;;263;2908.58;;;;;;;;;;;;
23/06/2024;;264;2891.34;;;;;;;;;;;;
24/06/2024;;265;2874.1;;;;;;;;;;;;
25/06/2024;;266;2856.86;;;;;;;;;;;;
26/06/2024;;267;2839.62;;;;;;;;;;;;
27/06/2024;;268;2822.38;;;;;;;;;;;;
28/06/2024;;269;2805.14;;;;;;;;;;;;
29/06/2024;;270;2787.9;;;;;;;;;;;;
30/06/2024;;271;2770.66;;;;;;;;;;;;
1/07/2024;;272;2753.42;;;;;;;;;;;;
2/07/2024;;273;2736.18;;;;;;;;;;;;
3/07/2024;;274;2718.94;;;;;;;;;;;;
4/07/2024;;275;2701.7;;;;;;;;;;;;
5/07/2024;;276;2684.46;;;;;;;;;;;;
6/07/2024;;277;2667.22;;;;;;;;;;;;
7/07/2024;;278;2649.98;;;;;;;;;;;;
8/07/2024;;279;2632.74;;;;;;;;;;;;
9/07/2024;;280;2615.5;;;;;;;;;;;;
10/07/2024;;281;2598.26;;;;;;;;;;;;
11/07/2024;;282;2581.02;;;;;;;;;;;;
12/07/2024;;283;2563.78;;;;;;;;;;;;
13/07/2024;;284;2546.54;;;;;;;;;;;;
14/07/2024;;285;2529.3;;;;;;;;;;;;
15/07/2024;;286;2512.06;;;;;;;;;;;;
16/07/2024;;287;2494.82;;;;;;;;;;;;
17/07/2024;;288;2477.58;;;;;;;;;;;;
18/07/2024;;289;2460.34;;;;;;;;;;;;
19/07/2024;;290;2443.1;;;;;;;;;;;;
20/07/2024;;291;2425.86;;;;;;;;;;;;
21/07/2024;;292;2408.62;;;;;;;;;;;;
22/07/2024;;293;2391.38;;;;;;;;;;;;
23/07/2024;;294;2374.14;;;;;;;;;;;;
24/07/2024;;295;2356.9;;;;;;;;;;;;
25/07/2024;;296;2339.66;;;;;;;;;;;;
26/07/2024;;297;2322.42;;;;;;;;;;;;
27/07/2024;;298;2305.18;;;;;;;;;;;;
28/07/2024;;299;2287.94;;;;;;;;;;;;
29/07/2024;;300;2270.7;;;;;;;;;;;;
30/07/2024;;301;2253.46;;;;;;;;;;;;
31/07/2024;;302;2236.22;;;;;;;;;;;;
1/08/2024;;303;2218.98;;;;;;;;;;;;
2/08/2024;;304;2201.74;;;;;;;;;;;;
3/08/2024;;305;2184.5;;;;;;;;;;;;
4/08/2024;;306;2167.26;;;;;;;;;;;;
5/08/2024;;307;2150.02;;;;;;;;;;;;
6/08/2024;;308;2132.78;;;;;;;;;;;;
7/08/2024;;309;2115.54;;;;;;;;;;;;
8/08/2024;;310;2098.3;;;;;;;;;;;;
9/08/2024;;311;2081.06;;;;;;;;;;;;
10/08/2024;;312;2063.82;;;;;;;;;;;;
11/08/2024;;313;2046.58;;;;;;;;;;;;
12/08/2024;;314;2029.34;;;;;;;;;;;;
13/08/2024;;315;2012.1;;;;;;;;;;;;
14/08/2024;;316;1994.86;;;;;;;;;;;;
15/08/2024;;317;1977.62;;;;;;;;;;;;
16/08/2024;;318;1960.38;;;;;;;;;;;;
17/08/2024;;319;1943.14;;;;;;;;;;;;
18/08/2024;;320;1925.9;;;;;;;;;;;;
19/08/2024;;321;1908.66;;;;;;;;;;;;
20/08/2024;;322;1891.42;;;;;;;;;;;;
21/08/2024;;323;1874.18;;;;;;;;;;;;
22/08/2024;;324;1856.94;;;;;;;;;;;;
23/08/2024;;325;1839.7;;;;;;;;;;;;
24/08/2024;;326;1822.46;;;;;;;;;;;;
25/08/2024;;327;1805.22;;;;;;;;;;;;
26/08/2024;;328;1787.98;;;;;;;;;;;;
27/08/2024;;329;1770.74;;;;;;;;;;;;
28/08/2024;;330;1753.5;;;;;;;;;;;;
29/08/2024;;331;1736.26;;;;;;;;;;;;
30/08/2024;;332;1719.02;;;;;;;;;;;;
31/08/2024;;333;1701.78;;;;;;;;;;;;
1/09/2024;;334;1684.54;;;;;;;;;;;;
2/09/2024;;335;1667.3;;;;;;;;;;;;
3/09/2024;;336;1650.06;;;;;;;;;;;;
4/09/2024;;337;1632.82;;;;;;;;;;;;
5/09/2024;;338;1615.58;;;;;;;;;;;;
6/09/2024;;339;1598.34;;;;;;;;;;;;
7/09/2024;;340;1581.1;;;;;;;;;;;;
8/09/2024;;341;1563.86;;;;;;;;;;;;
9/09/2024;;342;1546.62;;;;;;;;;;;;
10/09/2024;;343;1529.38;;;;;;;;;;;;
11/09/2024;;344;1512.14;;;;;;;;;;;;
12/09/2024;;345;1494.9;;;;;;;;;;;;
13/09/2024;;346;1477.66;;;;;;;;;;;;
14/09/2024;;347;1460.42;;;;;;;;;;;;
15/09/2024;;348;1443.18;;;;;;;;;;;;
16/09/2024;;349;1425.94;;;;;;;;;;;;
17/09/2024;;350;1408.7;;;;;;;;;;;;
18/09/2024;;351;1391.46;;;;;;;;;;;;
19/09/2024;;352;1374.22;;;;;;;;;;;;
20/09/2024;;353;1356.98;;;;;;;;;;;;
21/09/2024;;354;1339.74;;;;;;;;;;;;
22/09/2024;;355;1322.5;;;;;;;;;;;;
23/09/2024;;356;1305.26;;;;;;;;;;;;
24/09/2024;;357;1288.02;;;;;;;;;;;;
25/09/2024;;358;1270.78;;;;;;;;;;;;
26/09/2024;;359;1253.54;;;;;;;;;;;;
27/09/2024;;360;1236.3;;;;;;;;;;;;
28/09/2024;;361;1219.06;;;;;;;;;;;;
29/09/2024;;362;1201.82;;;;;;;;;;;;
30/09/2024;;363;1184.58;;;;;;;;;;;;
1/10/2024;;364;1167.34;;;;;;;;;;;;
2/10/2024;;365;1150.1;;;;;;;;;;;;
3/10/2024;;366;1132.86;;;;;;;;;;;;
4/10/2024;;367;1115.62;;;;;;;;;;;;
5/10/2024;;368;1098.38;;;;;;;;;;;;
6/10/2024;;369;1081.14;;;;;;;;;;;;
7/10/2024;;370;1063.9;;;;;;;;;;;;
8/10/2024;;371;1046.66;;;;;;;;;;;;
9/10/2024;;372;1029.42;;;;;;;;;;;;
10/10/2024;;373;1012.18;;;;;;;;;;;;
11/10/2024;;374;994.94;;;;;;;;;;;;
12/10/2024;;375;977.7;;;;;;;;;;;;
13/10/2024;;376;960.46;;;;;;;;;;;;
14/10/2024;;377;943.22;;;;;;;;;;;;
15/10/2024;;378;925.98;;;;;;;;;;;;
16/10/2024;;379;908.74;;;;;;;;;;;;
17/10/2024;;380;891.5;;;;;;;;;;;;
18/10/2024;;381;874.26;;;;;;;;;;;;
19/10/2024;;382;857.02;;;;;;;;;;;;
20/10/2024;;383;839.78;;;;;;;;;;;;
21/10/2024;;384;822.54;;;;;;;;;;;;
22/10/2024;;385;805.3;;;;;;;;;;;;
23/10/2024;;386;788.06;;;;;;;;;;;;
24/10/2024;;387;770.82;;;;;;;;;;;;
25/10/2024;;388;753.58;;;;;;;;;;;;
26/10/2024;;389;736.34;;;;;;;;;;;;
27/10/2024;;390;719.1;;;;;;;;;;;;
28/10/2024;;391;701.86;;;;;;;;;;;;
29/10/2024;;392;684.62;;;;;;;;;;;;
30/10/2024;;393;667.38;;;;;;;;;;;;
31/10/2024;;394;650.14;;;;;;;;;;;;
1/11/2024;;395;632.9;;;;;;;;;;;;
2/11/2024;;396;615.66;;;;;;;;;;;;
3/11/2024;;397;598.42;;;;;;;;;;;;
4/11/2024;;398;581.18;;;;;;;;;;;;
5/11/2024;;399;563.94;;;;;;;;;;;;
6/11/2024;;400;546.7;;;;;;;;;;;;
7/11/2024;;401;529.46;;;;;;;;;;;;
8/11/2024;;402;512.22;;;;;;;;;;;;
9/11/2024;;403;494.98;;;;;;;;;;;;
10/11/2024;;404;477.74;;;;;;;;;;;;
11/11/2024;;405;460.5;;;;;;;;;;;;
12/11/2024;;406;443.26;;;;;;;;;;;;
13/11/2024;;407;426.02;;;;;;;;;;;;
14/11/2024;;408;408.78;;;;;;;;;;;;
15/11/2024;;409;391.54;;;;;;;;;;;;
16/11/2024;;410;374.3;;;;;;;;;;;;
17/11/2024;;411;357.06;;;;;;;;;;;;
18/11/2024;;412;339.82;;;;;;;;;;;;
19/11/2024;;413;322.58;;;;;;;;;;;;
20/11/2024;;414;305.34;;;;;;;;;;;;
21/11/2024;;415;288.1;;;;;;;;;;;;
22/11/2024;;416;270.86;;;;;;;;;;;;
23/11/2024;;417;253.62;;;;;;;;;;;;
24/11/2024;;418;236.38;;;;;;;;;;;;
25/11/2024;;419;219.14;;;;;;;;;;;;
26/11/2024;;420;201.9;;;;;;;;;;;;
27/11/2024;;421;184.66;;;;;;;;;;;;
28/11/2024;;422;167.42;;;;;;;;;;;;
29/11/2024;;423;150.18;;;;;;;;;;;;
30/11/2024;;424;132.94;;;;;;;;;;;;
1/12/2024;;425;115.7;;;;;;;;;;;;
2/12/2024;;426;98.46;;;;;;;;;;;;
3/12/2024;;427;81.22;;;;;;;;;;;;
4/12/2024;;428;63.98;;;;;;;;;;;;
5/12/2024;;429;46.74;;;;;;;;;;;;
6/12/2024;;430;29.5;;;;;;;;;;;;
7/12/2024;;431;12.26;;;;;;;;;;;;
8/12/2024;;432;-4.98;;;;;;;;;;;;
9/12/2024;;433;-22.22;;;;;;;;;;;;
10/12/2024;;434;-39.46;;;;;;;;;;;;
11/12/2024;;435;-56.7;;;;;;;;;;;;
12/12/2024;;436;-73.94;;;;;;;;;;;;
13/12/2024;;437;-91.18;;;;;;;;;;;;
14/12/2024;;438;-108.42;;;;;;;;;;;;
15/12/2024;;439;-125.66;;;;;;;;;;;;
16/12/2024;;440;-142.9;;;;;;;;;;;;
17/12/2024;;441;-160.14;;;;;;;;;;;;
18/12/2024;;442;-177.38;;;;;;;;;;;;
19/12/2024;;443;-194.62;;;;;;;;;;;;
20/12/2024;;444;-211.86;;;;;;;;;;;;
21/12/2024;;445;-229.1;;;;;;;;;;;;
22/12/2024;;446;-246.34;;;;;;;;;;;;
23/12/2024;;447;-263.58;;;;;;;;;;;;
24/12/2024;;448;-280.82;;;;;;;;;;;;
25/12/2024;;449;-298.06;;;;;;;;;;;;
26/12/2024;;450;-315.3;;;;;;;;;;;;
27/12/2024;;451;-332.54;;;;;;;;;;;;
28/12/2024;;452;-349.78;;;;;;;;;;;;
29/12/2024;;453;-367.02;;;;;;;;;;;;
30/12/2024;;454;-384.26;;;;;;;;;;;;
31/12/2024;;455;-401.5;;;;;;;;;;;;
1/01/2025;;456;-418.74;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
